Part number,RTC Type,Accuracy (+/-ppm),Supply Voltage [Min to Max] (V),Low supply current (uA),Communication Protocol,Baudrate,Capacitive load (uF),Battery Back Up,SRAM,Watchdog Timer,Programmable alarm,Countdown Timer,Tamper input,Number of interrupts,Integrated Temperature Compensation,Operating Temperature (℃),AEC-Q100 compliant,Package type,Package dimensions (mm),Supplier
MAX31341B,IC,20 to 50 at 25°C,1.6 to 3.6,0.18,I2C,400,6,Yes,64 byte,No,Yes,Yes,No,2,No,-40 to 85,No,WLCSP12,,Analog devices
MAX31341C,IC,20 to 50 at 25°C,1.6 to 3.6,0.18,I2C,400,6,Yes,64 byte,No,Yes,Yes,No,2,No,-40 to 85,No,HXSON10,,Analog devices
MAX31334EWC,IC,Ext Crystal,1.6 to 3.6,0.15,I2C,400,6,Yes,32 byte,No,Yes,Yes,Yes,2,No,-40 to 85,No,WLCSP12,1.5 x 2.0 / 3 x 3,Analog devices
MAX31334S,IC,Ext Crystal,1.6 to 3.6,0.15,I2C,400,6,Yes,32 byte,No,Yes,Yes,Yes,2,No,-40 to 85,No,HXSON12,1.5 x 2.0 / 3 x 3,Analog devices
MAX31331EWC,IC,Ext Crystal,1.6 to 3.6,0.18,I2C,400,6,Yes,32 byte,No,Yes,Yes,Yes,2,No,-40 to 85,No,WLCSP12,1.66 x 1.26 / 3 x 3,Analog devices
MAX31331S,IC,Ext Crystal,1.6 to 3.6,0.18,I2C,400,6,Yes,32 byte,No,Yes,Yes,Yes,2,No,-40 to 85,No,HXSON10,1.66 x 1.26 / 3 x 3,Analog devices
MAX31329NELB,IC,5,1.6 to 3.6,0.18,I2C,400,0,Yes,64 byte,No,Yes,Yes,Yes,2,Yes,-40 to 85,No,LGA10,5 x 5,Analog devices
MAX31328NELB,IC,3.5,1.6 to 3.6,0.15,I2C,400,0,Yes,No,No,Yes,No,No,1,Yes,-40 to 85,No,LGA10,5 x 5,Analog devices
MAX31343ETAY,IC,5,1.6 to 3.6,0.18,I2C,400,0,Yes,64 byte,No,Yes,No,No,1,Yes,-40 to 85,No,WLCSP8,2.1 x 2.3 / 4 x 3,Analog devices
MAX31343S,IC,5,1.6 to 3.6,0.18,I2C,400,0,Yes,64 byte,No,Yes,No,No,1,Yes,-40 to 85,No,HXSON8,2.1 x 2.3 / 4 x 3,Analog devices
MAX31342EWA,IC,Ext Crystal,1.6 to 3.6,0.18,I2C,400,6,Yes,No,No,Yes,Yes,No,1,No,-40 to 85,No,WLCSP8,1 x 1.4 / 2 x 2,Analog devices
MAX31342S,IC,Ext Crystal,1.6 to 3.6,0.18,I2C,400,6,Yes,No,No,Yes,Yes,No,1,No,-40 to 85,No,HXSON8,1 x 1.4 / 2 x 2,Analog devices
DS1339BU,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,TSSOP8,3.0 x 3.0,Analog devices
DS1339AU,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,TSSOP8,3.0 x 3.0,Analog devices
DS1683S,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,No,No,No,Yes,No,No,1,No,-40 to 85,No,SO8,4.9 x 3.9,Analog devices
DS1308U,IC,Ext Crystal,1.8 to 5.5,0.5,I2C,400,,Yes,No,No,No,No,No,No,No,-40 to 85,No,TSSOP8,3.0 x 3.0,Analog devices
DS3232MZ,IC,5,4.5 to 5.5,3,I2C,400,,Yes,No,No,Yes,No,No,1,Yes,-40 to 85,No,SO8,4.9 x 3.9,Analog devices
DS1347S,IC,Ext Crystal,4.5 to 5.5,3,SPI,400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,HXSON8,3.0 x 3.0,Analog devices
DS1343S,IC,Ext Crystal,2.3 to 5.5,1,"3-Wire, SPI",400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,HXSON8,3.0 x 3.0,Analog devices
DS1344S,IC,Ext Crystal,1.8 to 5.5,0.55,"3-Wire, SPI",400,,Yes,No,No,Yes,No,No,1,No,-40 to 85,No,HXSON8,3.0 x 3.0,Analog devices
